window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
3d,logistic_regression,lag1_share_robbery,coef_abs,0.004694363179927071,0.0017433238429620536,0.09358727186918259,0.035690237204401405,3,24
3d,logistic_regression,quarter,coef_abs,0.003527677385136485,4.664418130569604e-05,0.0701800063252449,0.00048301767067608013,3,25
3d,logistic_regression,sin_weekofyear,coef_abs,0.0027609932391593852,0.00025363734572420856,0.054968997836112976,0.005612249030856756,3,26
3d,logistic_regression,region_train_std,coef_abs,0.0006600301324700316,0.0005869966536945448,0.013171722646802664,0.011727534324609658,3,27
3d,lstm,region_train_mean,grad_abs_mean,0.05991041908661524,0.01260144078096684,0.0005536944081541151,0.0001549780806679938,3,1
3d,lstm,neighbor_lag_0,grad_abs_mean,0.05936772500475248,0.001938719233594292,0.0005436080003467699,3.48201225962853e-05,3,2
3d,lstm,lag1_share_robbery,grad_abs_mean,0.059363813449939094,0.0042763184146289044,0.000542075140401721,6.3975601731878344e-06,3,3
3d,lstm,lag_4,grad_abs_mean,0.05876279746492704,0.001661558386926538,0.000538524123840034,4.272113269753118e-05,3,4
3d,lstm,lag1_share_burglary,grad_abs_mean,0.05703760931889216,0.0030197244493994904,0.0005228186491876841,5.082280439182461e-05,3,5
3d,lstm,lag_0,grad_abs_mean,0.05372840166091919,0.007781498139869048,0.0004905337118543684,6.246299595993423e-05,3,6
3d,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.04289503023028374,0.002313325277584718,0.0003937180736102164,4.445157292765938e-05,3,7
3d,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.04161274308959643,0.004341939284469042,0.00038068488356657326,4.0345734892210346e-05,3,8
3d,lstm,cos_weekofyear,grad_abs_mean,0.0409662202000618,0.0005253349161382201,0.0003751590653943519,2.2719477735284194e-05,3,9
3d,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.037551894783973694,0.003339124059012909,0.00034552109233724576,5.465814799684973e-05,3,10
3d,lstm,lag1_share_assault_battery,grad_abs_mean,0.03609026099244753,0.002527804475450941,0.0003295817490046223,2.9049059902587476e-06,3,11
3d,lstm,lag_1,grad_abs_mean,0.03563313061992327,0.003327799570130184,0.00032642607887585956,3.815058502581505e-05,3,12
3d,lstm,lag_2,grad_abs_mean,0.035548451046148934,0.00045752376000963925,0.00032561302456694346,2.1271731921031924e-05,3,13
3d,lstm,region_train_std,grad_abs_mean,0.03473322652280331,0.003769562249846186,0.00031736665793384117,2.9990036472455806e-05,3,14
3d,lstm,lag1_share_theft_larceny,grad_abs_mean,0.03391009196639061,0.00209641638839315,0.00031165670952759683,4.188259088182852e-05,3,15
3d,lstm,sin_weekofyear,grad_abs_mean,0.03325633332133293,0.0017830750513320663,0.0003039697379184266,7.932108965155007e-06,3,16
3d,lstm,quarter,grad_abs_mean,0.03190176126857599,0.0008340812575314905,0.0002925692048544685,2.6712598979399074e-05,3,17
3d,lstm,rolling_sum_4,grad_abs_mean,0.031561389565467834,0.0015930205756694467,0.0002887342998292297,1.5801043401930565e-05,3,18
3d,lstm,neighbor_lag_1,grad_abs_mean,0.030939963335792225,0.002097371730899573,0.0002825776076254745,1.4215639904191243e-06,3,19
3d,lstm,rolling_mean_4,grad_abs_mean,0.029741933569312096,0.001703720008431438,0.0002732512172466765,3.477941229615446e-05,3,20
3d,lstm,month,grad_abs_mean,0.029253961518406868,0.002430003299645093,0.0002675400658821066,2.1282841139414543e-05,3,21
3d,lstm,ewma_4,grad_abs_mean,0.028846841926376026,0.002855933961396991,0.00026415901569028694,3.070303127827533e-05,3,22
3d,lstm,neighbor_roll_mean_4,grad_abs_mean,0.028529665743311245,0.0012746121529518906,0.0002615846072634061,2.547966332562086e-05,3,23
3d,lstm,weekofyear,grad_abs_mean,0.02433764624098937,0.0017715541664964642,0.00022370445852478346,3.1985386254099234e-05,3,24
3d,lstm,neighbor_ewma_4,grad_abs_mean,0.022641644502679508,0.0006534138206206291,0.0002072216981711487,1.0504087251314217e-05,3,25
3d,lstm,region_seen_in_train,grad_abs_mean,0.011437710064152876,0.001974857310522818,0.0001052933803293854,2.3960012751611078e-05,3,26
3d,lstm,region_train_count,grad_abs_mean,0.010439335368573666,0.00048642298144786056,9.56073611935911e-05,7.210191332088882e-06,3,27
3d,random_forest,lag_0,split_count,0.05600282301505407,0.0002894559851223383,3842.6666666666665,19.857828011475288,3,1
3d,random_forest,ewma_4,split_count,0.05365479364991188,0.0005317759040304219,3681.6666666666665,50.52062285179515,3,2
3d,random_forest,neighbor_lag_0,split_count,0.046848940352598824,0.0004196738585118642,3214.6666666666665,42.146569650842615,3,3
3d,random_forest,rolling_mean_4,split_count,0.04587923735380173,0.0008607140759564648,3148.0,56.630380539071076,3,4
3d,random_forest,rolling_sum_4,split_count,0.045581936836242676,0.00023756342194190258,3127.6666666666665,24.41993720985644,3,5
3d,random_forest,lag_4,split_count,0.045154646039009094,0.0008687053665997893,3098.3333333333335,61.3297100379036,3,6
3d,random_forest,region_train_mean,split_count,0.044150322675704956,0.0004474078138185263,3029.3333333333335,18.147543451754867,3,7
3d,random_forest,self_neighbor_ratio_lag0,split_count,0.04391500726342201,0.0003170724939962743,3013.3333333333335,34.42867022313435,3,8
3d,random_forest,lag_1,split_count,0.041965694477160774,0.000958217834944779,2879.3333333333335,53.46338310781807,3,9
3d,random_forest,lag_2,split_count,0.04050947849949201,0.000503460269181316,2779.6666666666665,43.54690957270479,3,10
3d,random_forest,lag1_share_motor_vehicle_theft,split_count,0.04023439312974612,0.00040891116246766316,2760.6666666666665,21.361959960016186,3,11
3d,random_forest,lag1_share_theft_larceny,split_count,0.03948501373330752,0.0001952965175308551,2709.3333333333335,23.459184413217276,3,12
3d,random_forest,lag1_share_assault_battery,split_count,0.039082816491524376,0.0003601787359039378,2681.6666666666665,20.50203241957571,3,13
3d,random_forest,lag1_share_drug_narcotics,split_count,0.03902783120671908,0.0003549603109771368,2678.0,35.369478367654786,3,14
3d,random_forest,lag1_share_robbery,split_count,0.038960435738166176,0.00014058143494604286,2673.3333333333335,20.30599254735744,3,15
3d,random_forest,lag1_share_burglary,split_count,0.03893607730666796,0.0003443307639775318,2671.6666666666665,30.270998221620147,3,16
3d,random_forest,cos_weekofyear,split_count,0.0388870599369208,0.0008204334922367742,2668.3333333333335,61.49254697386779,3,17
3d,random_forest,neighbor_lag_1,split_count,0.03868472700317701,0.00036163959829209926,2654.3333333333335,16.772994167212136,3,18
3d,random_forest,neighbor_ewma_4,split_count,0.03752471630771955,0.001144871027610232,2575.0,88.60586888011426,3,19
3d,random_forest,neighbor_roll_mean_4,split_count,0.037321753799915314,0.000726195184764818,2561.0,59.90826320300064,3,20
3d,random_forest,region_train_std,split_count,0.035880291213591896,0.00080782278193182,2462.0,58.89821729050889,3,21
3d,random_forest,weekofyear,split_count,0.034765214969714485,0.0008027977839177988,2385.3333333333335,48.013886880082204,3,22
3d,random_forest,sin_weekofyear,split_count,0.033949628472328186,0.0014415896755723212,2329.3333333333335,94.00177303292385,3,23
3d,random_forest,month,split_count,0.028006775304675102,0.00030614543847306517,1921.6666666666667,15.50268793897796,3,24
