window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
7d,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0,0.0,0.0,3,8
7d,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0,0.0,0.0,3,9
7d,baseline_persistence,lag_1,rule_based,0.0,0.0,0.0,0.0,3,10
7d,logistic_regression,ewma_4,coef_abs,0.22849189738432565,0.0038794368731897046,3.790175755818685,0.1293515065966227,3,1
7d,logistic_regression,lag_0,coef_abs,0.12519077211618423,0.0014241367165260953,2.076304833094279,0.0469792195236404,3,2
7d,logistic_regression,lag1_share_assault_battery,coef_abs,0.07208724816640218,0.0023070510220116565,1.1959137519200642,0.05658496825230904,3,3
7d,logistic_regression,lag1_share_theft_larceny,coef_abs,0.0645010806620121,0.0020539914196745154,1.0700819492340088,0.051241795624400246,3,4
7d,logistic_regression,region_train_mean,coef_abs,0.059278763830661774,0.0015664043346387065,0.9828755259513855,0.016092179060611802,3,5
7d,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.051250554621219635,0.0017563487481383783,0.850273867448171,0.04308709036230335,3,6
7d,logistic_regression,lag_1,coef_abs,0.043673232197761536,0.0024928608920966127,0.7245455384254456,0.04923148066073074,3,7
7d,logistic_regression,neighbor_roll_mean_4,coef_abs,0.03874340156714121,0.0029926657178111216,0.6419711311658224,0.038593604497772396,3,8
7d,logistic_regression,month,coef_abs,0.033506132662296295,0.0001431806395084784,0.5557142694791158,0.011987469970832958,3,9
7d,logistic_regression,neighbor_ewma_4,coef_abs,0.032318991919358574,0.0037934096007028436,0.5353375275929769,0.054211748306013365,3,10
7d,lstm,lag_4,grad_abs_mean,0.06128612036506335,0.011200422831862348,0.0004653590149246156,0.00011572044585892036,3,1
7d,lstm,lag1_share_robbery,grad_abs_mean,0.061237890273332596,0.007932990166015234,0.0004579089484953632,3.0192673132576973e-05,3,2
7d,lstm,lag_0,grad_abs_mean,0.05487691486875216,0.016074482334829505,0.00043353871054326493,0.00021924620674612785,3,3
7d,lstm,lag1_share_burglary,grad_abs_mean,0.05319566652178764,0.0034408855683949985,0.00040526284525791806,8.904505055656013e-05,3,4
7d,lstm,neighbor_lag_0,grad_abs_mean,0.04624838009476662,0.001289597112953717,0.00035240224679000676,7.626230838761866e-05,3,5
7d,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.04591481884320577,0.003582498337067576,0.0003501565079204738,8.148532761226927e-05,3,6
7d,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.04559104641278585,0.0056002719950901374,0.0003518466352640341,0.00011263331164420884,3,7
7d,lstm,region_train_mean,grad_abs_mean,0.0448473629852136,0.004968221182504339,0.00034512774436734617,0.00010332659125732541,3,8
7d,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.0413514773050944,0.0025495174274021053,0.00031719527517755825,8.510710550807474e-05,3,9
7d,lstm,cos_weekofyear,grad_abs_mean,0.04128098115324974,0.005202830936902084,0.00030935271449076634,2.9644352532501325e-05,3,10
7d,random_forest,lag_0,split_count,0.05755230411887169,0.00029272885148714167,2529.3333333333335,23.180451534284884,3,1
7d,random_forest,ewma_4,split_count,0.05132165178656578,0.0009633496867067073,2255.3333333333335,30.435724623102654,3,2
7d,random_forest,rolling_mean_4,split_count,0.04706917330622673,0.000768107413244614,2068.6666666666665,41.25934237640413,3,3
7d,random_forest,rolling_sum_4,split_count,0.0466591902077198,0.0006142482158245908,2050.6666666666665,37.42102795666279,3,4
7d,random_forest,lag_4,split_count,0.045461648454268776,0.0017945193218953915,1997.6666666666667,68.39103255057155,3,5
7d,random_forest,lag_1,split_count,0.044840397934118904,0.0005896630708414852,1970.6666666666667,30.038863715748843,3,6
7d,random_forest,self_neighbor_ratio_lag0,split_count,0.04403748487432798,0.002328140834358991,1935.0,92.45539465060976,3,7
7d,random_forest,neighbor_lag_0,split_count,0.043711405247449875,0.00039551014551856986,1921.0,15.524174696260024,3,8
7d,random_forest,lag_2,split_count,0.0433841347694397,0.0001343372255825835,1906.6666666666667,16.07275126832156,3,9
7d,random_forest,cos_weekofyear,split_count,0.04152542849381765,0.0007916240744058907,1825.0,39.0,3,10
