window,seed,model,feature,method,importance_raw,importance_norm
7d,0,random_forest,lag1_share_motor_vehicle_theft,split_count,1736.0,0.03960486501455307
7d,0,random_forest,lag1_share_drug_narcotics,split_count,1754.0,0.04001551494002342
7d,0,random_forest,month,split_count,1220.0,0.027832910418510437
7d,0,random_forest,weekofyear,split_count,1619.0,0.03693564236164093
7d,0,random_forest,quarter,split_count,623.0,0.014213035814464092
7d,0,random_forest,sin_weekofyear,split_count,1545.0,0.03524741530418396
7d,0,random_forest,cos_weekofyear,split_count,1849.0,0.04218282923102379
7d,0,random_forest,region_train_mean,split_count,1617.0,0.03689001500606537
7d,0,random_forest,region_train_std,split_count,1535.0,0.03501927852630615
7d,0,random_forest,region_train_count,split_count,0.0,0.0
7d,0,random_forest,region_seen_in_train,split_count,0.0,0.0
7d,0,lstm,lag_0,grad_abs_mean,0.0003252485184930265,0.04887168109416962
7d,0,lstm,lag_1,grad_abs_mean,0.00018400009139440954,0.02764776162803173
7d,0,lstm,lag_2,grad_abs_mean,0.00020810839487239718,0.03127026557922363
7d,0,lstm,lag_4,grad_abs_mean,0.00048392967437393963,0.07271503657102585
7d,0,lstm,rolling_mean_4,grad_abs_mean,0.00024077788111753762,0.03617916628718376
7d,0,lstm,rolling_sum_4,grad_abs_mean,0.000248584954533726,0.03735225275158882
7d,0,lstm,ewma_4,grad_abs_mean,0.00020108323951717466,0.030214667320251465
7d,0,lstm,neighbor_lag_0,grad_abs_mean,0.00031321446294896305,0.04706345126032829
7d,0,lstm,neighbor_lag_1,grad_abs_mean,0.0002517069224268198,0.03782135620713234
7d,0,lstm,neighbor_roll_mean_4,grad_abs_mean,0.00016159619553945959,0.024281363934278488
7d,0,lstm,neighbor_ewma_4,grad_abs_mean,0.0001802273327484727,0.027080869302153587
7d,0,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.00026267996872775257,0.039470162242650986
7d,0,lstm,lag1_share_theft_larceny,grad_abs_mean,0.00029629821074195206,0.044521622359752655
7d,0,lstm,lag1_share_assault_battery,grad_abs_mean,0.00030534795951098204,0.04588143154978752
7d,0,lstm,lag1_share_burglary,grad_abs_mean,0.00032975972862914205,0.04954953491687775
7d,0,lstm,lag1_share_robbery,grad_abs_mean,0.00042961398139595985,0.06455358117818832
7d,0,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.0002653754490893334,0.03987518325448036
7d,0,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.000324831809848547,0.04880906641483307
7d,0,lstm,month,grad_abs_mean,0.00016825673810672015,0.025282174348831177
7d,0,lstm,weekofyear,grad_abs_mean,0.0001741484011290595,0.026167452335357666
7d,0,lstm,quarter,grad_abs_mean,0.00024864039733074605,0.03736058250069618
7d,0,lstm,sin_weekofyear,grad_abs_mean,0.0001992241886910051,0.029935328289866447
7d,0,lstm,cos_weekofyear,grad_abs_mean,0.00027775843045674264,0.04173584282398224
7d,0,lstm,region_train_mean,grad_abs_mean,0.0002621617750264704,0.03939229995012283
7d,0,lstm,region_train_std,grad_abs_mean,0.00015675683971494436,0.023554205894470215
7d,0,lstm,region_train_count,grad_abs_mean,7.920866482891142e-05,0.011901854537427425
7d,0,lstm,region_seen_in_train,grad_abs_mean,7.661284325877205e-05,0.011511808261275291
7d,1,baseline_persistence,lag_0,rule_based,1.0,1.0
7d,1,baseline_persistence,lag_1,rule_based,0.0,0.0
7d,1,baseline_persistence,lag_2,rule_based,0.0,0.0
7d,1,baseline_persistence,lag_4,rule_based,0.0,0.0
7d,1,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0
7d,1,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0
7d,1,baseline_persistence,ewma_4,rule_based,0.0,0.0
7d,1,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0
7d,1,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0
7d,1,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0
7d,1,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0
7d,1,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0
7d,1,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0
7d,1,baseline_persistence,month,rule_based,0.0,0.0
7d,1,baseline_persistence,weekofyear,rule_based,0.0,0.0
7d,1,baseline_persistence,quarter,rule_based,0.0,0.0
7d,1,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0
7d,1,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0
7d,1,baseline_persistence,region_train_mean,rule_based,0.0,0.0
7d,1,baseline_persistence,region_train_std,rule_based,0.0,0.0
7d,1,baseline_persistence,region_train_count,rule_based,0.0,0.0
7d,1,baseline_persistence,region_seen_in_train,rule_based,0.0,0.0
7d,1,logistic_regression,lag_0,coef_abs,2.108236312866211,0.12484487146139145
7d,1,logistic_regression,lag_1,coef_abs,0.7772345542907715,0.04602602869272232
7d,1,logistic_regression,lag_2,coef_abs,0.27926596999168396,0.016537483781576157
7d,1,logistic_regression,lag_4,coef_abs,0.453220009803772,0.0268386397510767
7d,1,logistic_regression,rolling_mean_4,coef_abs,0.15762360394001007,0.00933410506695509
7d,1,logistic_regression,rolling_sum_4,coef_abs,0.19777704775333405,0.011711898259818554
7d,1,logistic_regression,ewma_4,coef_abs,3.9332265853881836,0.23291656374931335
7d,1,logistic_regression,neighbor_lag_0,coef_abs,0.1243848204612732,0.007365780882537365
7d,1,logistic_regression,neighbor_lag_1,coef_abs,0.21967297792434692,0.013008524663746357
7d,1,logistic_regression,neighbor_roll_mean_4,coef_abs,0.6016522645950317,0.03562845289707184
7d,1,logistic_regression,neighbor_ewma_4,coef_abs,0.49767863750457764,0.029471375048160553
7d,1,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.8996863961219788,0.05327734351158142
7d,1,logistic_regression,lag1_share_theft_larceny,coef_abs,1.1144790649414062,0.06599687039852142
7d,1,logistic_regression,lag1_share_assault_battery,coef_abs,1.2413935661315918,0.07351244986057281
7d,1,logistic_regression,lag1_share_burglary,coef_abs,0.17357410490512848,0.010278656147420406
7d,1,logistic_regression,lag1_share_robbery,coef_abs,0.2481318563222885,0.014693793840706348
7d,1,logistic_regression,lag1_share_motor_vehicle_theft,coef_abs,0.32527244091033936,0.019261879846453667
7d,1,logistic_regression,lag1_share_drug_narcotics,coef_abs,0.3651820421218872,0.021625233814120293
7d,1,logistic_regression,month,coef_abs,0.5685513615608215,0.03366829454898834
7d,1,logistic_regression,weekofyear,coef_abs,0.32230207324028015,0.01908598281443119
7d,1,logistic_regression,quarter,coef_abs,0.2803490161895752,0.016601618379354477
7d,1,logistic_regression,sin_weekofyear,coef_abs,0.22383354604244232,0.013254904188215733
7d,1,logistic_regression,cos_weekofyear,coef_abs,0.4835841655731201,0.028636733070015907
7d,1,logistic_regression,region_train_mean,coef_abs,0.9711218476295471,0.05750758573412895
7d,1,logistic_regression,region_train_std,coef_abs,0.05341365933418274,0.003163033165037632
7d,1,logistic_regression,region_train_count,coef_abs,0.17301593720912933,0.010245602577924728
7d,1,logistic_regression,region_seen_in_train,coef_abs,0.0929839164018631,0.00550629198551178
7d,1,random_forest,lag_0,split_count,2526.0,0.057681769132614136
7d,1,random_forest,lag_1,split_count,1936.0,0.044208988547325134
7d,1,random_forest,lag_2,split_count,1895.0,0.04327274486422539
7d,1,random_forest,lag_4,split_count,2043.0,0.046652358025312424
7d,1,random_forest,rolling_mean_4,split_count,2074.0,0.04736024886369705
7d,1,random_forest,rolling_sum_4,split_count,2037.0,0.04651534557342529
7d,1,random_forest,ewma_4,split_count,2279.0,0.052041467279195786
7d,1,random_forest,neighbor_lag_0,split_count,1905.0,0.043501097708940506
7d,1,random_forest,neighbor_lag_1,split_count,1650.0,0.03767811506986618
7d,1,random_forest,neighbor_roll_mean_4,split_count,1625.0,0.037107232958078384
7d,1,random_forest,neighbor_ewma_4,split_count,1602.0,0.03658202290534973
