region_id,time_id,lag_0,lag_1,lag_2,lag_4,rolling_mean_4,rolling_sum_4,ewma_4,neighbor_lag_0,neighbor_lag_1,neighbor_roll_mean_4,neighbor_ewma_4,self_neighbor_ratio_lag0,lag1_share_theft_larceny,lag1_share_assault_battery,lag1_share_burglary,lag1_share_robbery,lag1_share_motor_vehicle_theft,lag1_share_drug_narcotics,month,weekofyear,quarter,sin_weekofyear,cos_weekofyear,region_train_mean,region_train_std,region_train_count,region_seen_in_train,y,y_count
IL__CPD_DIST_1,2024-12-30,67,73.0,62.0,83.0,73.25,293.0,71.81264628850728,52.82608695652174,52.65217391304348,51.01086956521739,51.07484373447761,1.268312757201646,0.4794520547945205,0.3150684931506849,0.0410958904109589,0.0547945205479452,0.0684931506849315,0.0410958904109589,12,1,4,0.12053668025532305,0.992708874098054,76.82095709570957,27.219087689958165,1212,1,0,63.0
IL__CPD_DIST_1,2025-01-02,63,67.0,73.0,75.0,69.25,277.0,69.88758777310437,46.56521739130435,52.82608695652174,51.19565217391304,51.77534102329527,1.352941176470588,0.44776119402985076,0.44776119402985076,0.014925373134328358,0.029850746268656716,0.04477611940298507,0.014925373134328358,1,1,1,0.12053668025532305,0.992708874098054,76.82095709570957,27.219087689958165,1212,1,0,66.0
IL__CPD_DIST_1,2025-01-05,66,63.0,67.0,62.0,66.25,265.0,67.13255266386263,45.52173913043478,46.56521739130435,49.14130434782609,49.691291570498905,1.4498567335243553,0.3968253968253968,0.36507936507936506,0.031746031746031744,0.015873015873015872,0.12698412698412698,0.06349206349206349,1,1,1,0.12053668025532305,0.992708874098054,76.82095709570957,27.219087689958165,1212,1,0,61.0
IL__CPD_DIST_1,2025-01-08,61,66.0,63.0,73.0,67.25,269.0,66.67953159831758,46.17391304347826,45.52173913043478,49.39130434782609,48.02347059447325,1.3210922787193975,0.48484848484848486,0.2878787878787879,0.045454545454545456,0.015151515151515152,0.045454545454545456,0.12121212121212122,1,2,1,0.23931566428755774,0.970941817426052,76.82095709570957,27.219087689958165,1212,1,0,60.0
IL__CPD_DIST_1,2025-01-11,60,61.0,66.0,67.0,64.25,257.0,64.40771895899054,50.21739130434783,46.17391304347826,47.77173913043478,47.28364757407525,1.1948051948051948,0.5573770491803278,0.26229508196721313,0.03278688524590164,0.08196721311475409,0.01639344262295082,0.04918032786885246,1,2,1,0.23931566428755774,0.970941817426052,76.82095709570957,27.219087689958165,1212,1,0,65.0
IL__CPD_DIST_1,2025-01-14,65,60.0,61.0,63.0,62.5,250.0,62.644631375394326,48.26086956521739,50.21739130434783,47.119565217391305,48.45714506618428,1.3468468468468469,0.4666666666666667,0.35,0.06666666666666667,0.0,0.08333333333333333,0.03333333333333333,1,3,1,0.3546048870425356,0.9350162426854148,76.82095709570957,27.219087689958165,1212,1,0,66.0
IL__CPD_DIST_1,2025-01-17,66,65.0,60.0,66.0,63.0,252.0,63.58677882523659,53.47826086956522,48.26086956521739,47.54347826086957,48.37863486579752,1.2341463414634146,0.49230769230769234,0.23076923076923078,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.2,1,3,1,0.3546048870425356,0.9350162426854148,76.82095709570957,27.219087689958165,1212,1,0,65.0
IL__CPD_DIST_1,2025-01-20,65,66.0,65.0,61.0,63.0,252.0,64.55206729514195,41.95652173913044,53.47826086956522,49.53260869565218,50.418485267304604,1.549222797927461,0.3787878787878788,0.22727272727272727,0.06060606060606061,0.06060606060606061,0.10606060606060606,0.16666666666666666,1,4,1,0.4647231720437685,0.8854560256532099,76.82095709570957,27.219087689958165,1212,1,0,59.0
IL__CPD_DIST_1,2025-01-23,59,65.0,66.0,60.0,64.0,256.0,64.73124037708517,47.0,41.95652173913044,48.47826086956522,47.033699856034936,1.2553191489361701,0.4461538461538462,0.36923076923076925,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.06153846153846154,1,4,1,0.4647231720437685,0.8854560256532099,76.82095709570957,27.219087689958165,1212,1,1,81.0
IL__CPD_DIST_1,2025-01-26,81,59.0,65.0,65.0,63.75,255.0,62.4387442262511,52.130434782608695,47.0,47.673913043478265,47.02021991362096,1.5537948290241868,0.4406779661016949,0.3898305084745763,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.0847457627118644,1,4,1,0.4647231720437685,0.8854560256532099,76.82095709570957,27.219087689958165,1212,1,0,75.0
IL__CPD_DIST_1,2025-01-29,75,81.0,59.0,66.0,67.75,271.0,69.86324653575066,50.56521739130435,52.130434782608695,48.641304347826086,49.064305861216056,1.4832330180567497,0.4567901234567901,0.20987654320987653,0.14814814814814814,0.04938271604938271,0.1111111111111111,0.024691358024691357,1,5,1,0.5680647467311558,0.8229838658936564,76.82095709570957,27.219087689958165,1212,1,1,78.0
IL__CPD_DIST_1,2025-02-01,78,75.0,81.0,65.0,70.0,280.0,71.9179479214504,54.608695652173914,50.56521739130435,47.91304347826087,49.66467047325138,1.428343949044586,0.4666666666666667,0.37333333333333335,0.04,0.0,0.08,0.04,2,5,1,0.5680647467311558,0.8229838658936564,76.82095709570957,27.219087689958165,1212,1,0,67.0
IL__CPD_DIST_1,2025-02-04,67,78.0,75.0,59.0,73.25,293.0,74.35076875287024,44.34782608695652,54.608695652173914,51.076086956521735,51.642280544820395,1.5107843137254902,0.46153846153846156,0.2948717948717949,0.038461538461538464,0.01282051282051282,0.1282051282051282,0.0641025641025641,2,6,1,0.6631226582407952,0.7485107481711011,76.82095709570957,27.219087689958165,1212,1,0,52.0
IL__CPD_DIST_1,2025-02-07,52,67.0,78.0,81.0,75.25,301.0,71.41046125172214,49.04347826086956,44.34782608695652,50.41304347826087,48.724498761674845,1.0602836879432624,0.47761194029850745,0.22388059701492538,0.029850746268656716,0.04477611940298507,0.08955223880597014,0.13432835820895522,2,6,1,0.6631226582407952,0.7485107481711011,76.82095709570957,27.219087689958165,1212,1,0,68.0
IL__CPD_DIST_1,2025-02-10,68,52.0,67.0,75.0,68.0,272.0,63.646276751033284,43.17391304347826,49.04347826086956,49.641304347826086,48.85209056135273,1.5750251762336356,0.46153846153846156,0.36538461538461536,0.057692307692307696,0.0,0.057692307692307696,0.057692307692307696,2,7,1,0.7485107481711011,0.6631226582407953,76.82095709570957,27.219087689958165,1212,1,0,65.0
