dataset,model,period,n_rows,precision,recall,f1,auc_roc
chicago_2025,baseline_persistence,2024-12,,,,0.0,
chicago_2025,baseline_persistence,2025-01,,,,0.2916666666666667,
chicago_2025,baseline_persistence,2025-02,,,,0.39024390243902446,
chicago_2025,baseline_persistence,2025-03,,,,0.45,
chicago_2025,baseline_persistence,2025-04,,,,0.5473684210526316,
chicago_2025,baseline_persistence,2025-05,,,,0.5391304347826087,
chicago_2025,baseline_persistence,2025-06,,,,0.8025477707006369,
chicago_2025,baseline_persistence,2025-07,,,,0.7486033519553074,
chicago_2025,baseline_persistence,2025-08,,,,0.6715328467153284,
chicago_2025,baseline_persistence,2025-09,,,,0.706766917293233,
chicago_2025,baseline_persistence,2025-10,,,,0.6885245901639344,
chicago_2025,baseline_persistence,2025-11,,,,0.43076923076923074,
chicago_2025,baseline_persistence,2025-12,,,,0.26666666666666666,
chicago_2025,logistic_regression,2024-12,,,,0.5,
chicago_2025,logistic_regression,2025-01,,,,0.540137602920217,
chicago_2025,logistic_regression,2025-02,,,,0.44786803610333026,
chicago_2025,logistic_regression,2025-03,,,,0.6012244897959184,
chicago_2025,logistic_regression,2025-04,,,,0.6180010330578513,
chicago_2025,logistic_regression,2025-05,,,,0.7033767308406965,
chicago_2025,logistic_regression,2025-06,,,,0.8613815731134166,
chicago_2025,logistic_regression,2025-07,,,,0.8360836083608362,
chicago_2025,logistic_regression,2025-08,,,,0.7248335249090365,
chicago_2025,logistic_regression,2025-09,,,,0.74406655439918,
chicago_2025,logistic_regression,2025-10,,,,0.783649771911794,
chicago_2025,logistic_regression,2025-11,,,,0.4969378091129117,
chicago_2025,logistic_regression,2025-12,,,,0.2794540229885057,
chicago_2025,lstm,2024-12,,,,0.0,
chicago_2025,lstm,2025-01,,,,0.2962394340396207,
chicago_2025,lstm,2025-02,,,,0.41825312663064523,
chicago_2025,lstm,2025-03,,,,0.3770042194092827,
chicago_2025,lstm,2025-04,,,,0.5500345065562456,
chicago_2025,lstm,2025-05,,,,0.6179930071210208,
chicago_2025,lstm,2025-06,,,,0.7857371683264852,
chicago_2025,lstm,2025-07,,,,0.7790136359112173,
chicago_2025,lstm,2025-08,,,,0.6836852610568337,
chicago_2025,lstm,2025-09,,,,0.6689162503988904,
chicago_2025,lstm,2025-10,,,,0.6304605776736923,
chicago_2025,lstm,2025-11,,,,0.48461358230992985,
chicago_2025,lstm,2025-12,,,,0.41111111111111115,
chicago_2025,random_forest,2024-12,,,,0.5,
chicago_2025,random_forest,2025-01,,,,0.25210084033613445,
chicago_2025,random_forest,2025-02,,,,0.40029662588060805,
chicago_2025,random_forest,2025-03,,,,0.38601112086625694,
chicago_2025,random_forest,2025-04,,,,0.5398158067382512,
chicago_2025,random_forest,2025-05,,,,0.634741791906661,
chicago_2025,random_forest,2025-06,,,,0.872011856951616,
chicago_2025,random_forest,2025-07,,,,0.8362000806213966,
chicago_2025,random_forest,2025-08,,,,0.7260069479128514,
chicago_2025,random_forest,2025-09,,,,0.6663830519436212,
chicago_2025,random_forest,2025-10,,,,0.777102062400846,
chicago_2025,random_forest,2025-11,,,,0.4803767660910518,
chicago_2025,random_forest,2025-12,,,,0.0,
nibrs,baseline_persistence,2024-01,,,,0.9014084507042254,
nibrs,baseline_persistence,2024-02,,,,0.905852417302799,
