dataset,model,period,n_rows,precision,recall,f1,auc_roc
nibrs,baseline_persistence,2024-03,,,,0.9246231155778895,
nibrs,baseline_persistence,2024-04,,,,0.9108433734939757,
nibrs,baseline_persistence,2024-05,,,,0.9123595505617977,
nibrs,baseline_persistence,2024-06,,,,0.8976377952755906,
nibrs,baseline_persistence,2024-07,,,,0.8911392405063291,
nibrs,baseline_persistence,2024-08,,,,0.8883374689826301,
nibrs,baseline_persistence,2024-09,,,,0.9129287598944592,
nibrs,baseline_persistence,2024-10,,,,0.9065420560747665,
nibrs,baseline_persistence,2024-11,,,,0.9291784702549575,
nibrs,baseline_persistence,2024-12,,,,0.9055374592833875,
nibrs,logistic_regression,2024-01,,,,0.17366270179569412,
nibrs,logistic_regression,2024-02,,,,0.326741931805223,
nibrs,logistic_regression,2024-03,,,,0.317643702752817,
nibrs,logistic_regression,2024-04,,,,0.37015351628813153,
nibrs,logistic_regression,2024-05,,,,0.4446873128891005,
nibrs,logistic_regression,2024-06,,,,0.4756901893287435,
nibrs,logistic_regression,2024-07,,,,0.4370502882130789,
nibrs,logistic_regression,2024-08,,,,0.45764313668844075,
nibrs,logistic_regression,2024-09,,,,0.46210169491525416,
nibrs,logistic_regression,2024-10,,,,0.4369959401261152,
nibrs,logistic_regression,2024-11,,,,0.44105006032134436,
nibrs,logistic_regression,2024-12,,,,0.4033142064230148,
nibrs,lstm,2024-01,,,,0.06329113924050632,
nibrs,lstm,2024-02,,,,0.09251873687455446,
nibrs,lstm,2024-03,,,,0.06420545746388444,
nibrs,lstm,2024-04,,,,0.06791004681863536,
nibrs,lstm,2024-05,,,,0.12342485740814431,
nibrs,lstm,2024-06,,,,0.16457155069112114,
nibrs,lstm,2024-07,,,,0.1783227369058432,
nibrs,lstm,2024-08,,,,0.19727668845315904,
nibrs,lstm,2024-09,,,,0.1629832244547584,
nibrs,lstm,2024-10,,,,0.15640814081408141,
nibrs,lstm,2024-11,,,,0.1305234251477074,
nibrs,lstm,2024-12,,,,0.14662309368191723,
nibrs,random_forest,2024-01,,,,0.9028759968824008,
nibrs,random_forest,2024-02,,,,0.9211667229539571,
nibrs,random_forest,2024-03,,,,0.9368274185304397,
nibrs,random_forest,2024-04,,,,0.9140274753871028,
nibrs,random_forest,2024-05,,,,0.9469502110768809,
nibrs,random_forest,2024-06,,,,0.9346536085333755,
nibrs,random_forest,2024-07,,,,0.9116399804108551,
nibrs,random_forest,2024-08,,,,0.9175932406370536,
nibrs,random_forest,2024-09,,,,0.937303858230957,
nibrs,random_forest,2024-10,,,,0.9311122543180647,
nibrs,random_forest,2024-11,,,,0.9309532096862414,
nibrs,random_forest,2024-12,,,,0.9407635200198802,
