time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
3,chicago_2025,baseline_persistence,0,auc,0.8949656918897455,,,overall
3,chicago_2025,baseline_persistence,0,f1,0.6185737976782753,,,overall
3,chicago_2025,baseline_persistence,0,recall,0.6196013289036545,,,overall
3,chicago_2025,baseline_persistence,0,precision,0.6175496688741722,,,overall
3,chicago_2025,logistic_regression,0,auc,0.9321836355170354,,,overall
3,chicago_2025,logistic_regression,0,f1,0.7054840893703453,,,overall
3,chicago_2025,logistic_regression,0,recall,0.8654485049833887,,,overall
3,chicago_2025,logistic_regression,0,precision,0.5954285714285714,,,overall
3,chicago_2025,lstm,0,auc,0.8900829993458321,,,overall
3,chicago_2025,lstm,0,f1,0.6251920122887865,,,overall
3,chicago_2025,lstm,0,recall,0.6760797342192691,,,overall
3,chicago_2025,lstm,0,precision,0.5814285714285714,,,overall
3,chicago_2025,random_forest,0,auc,0.9299497519018005,,,overall
3,chicago_2025,random_forest,0,f1,0.6689655172413793,,,overall
3,chicago_2025,random_forest,0,recall,0.6445182724252492,,,overall
3,chicago_2025,random_forest,0,precision,0.6953405017921147,,,overall
3,nibrs,baseline_persistence,0,auc,0.9987551692918574,,,overall
3,nibrs,baseline_persistence,0,f1,0.9072254966164593,,,overall
3,nibrs,baseline_persistence,0,recall,0.9086139046786182,,,overall
3,nibrs,baseline_persistence,0,precision,0.9058413251961639,,,overall
3,nibrs,logistic_regression,0,auc,0.8793735444963098,,,overall
3,nibrs,logistic_regression,0,f1,0.44421768707482995,,,overall
3,nibrs,logistic_regression,0,recall,0.2855268911237429,,,overall
3,nibrs,logistic_regression,0,precision,1.0,,,overall
3,nibrs,lstm,0,auc,0.22377072976027265,,,overall
3,nibrs,lstm,0,f1,0.0,,,overall
3,nibrs,lstm,0,recall,0.0,,,overall
3,nibrs,lstm,0,precision,0.0,,,overall
3,nibrs,random_forest,0,auc,0.9975164587241829,,,overall
3,nibrs,random_forest,0,f1,0.9298085688240657,,,overall
3,nibrs,random_forest,0,recall,0.8919982509838216,,,overall
3,nibrs,random_forest,0,precision,0.9709662065683008,,,overall
3,chicago_2025,baseline_persistence,1,auc,0.8949656918897455,,,overall
3,chicago_2025,baseline_persistence,1,f1,0.6185737976782753,,,overall
3,chicago_2025,baseline_persistence,1,recall,0.6196013289036545,,,overall
3,chicago_2025,baseline_persistence,1,precision,0.6175496688741722,,,overall
3,chicago_2025,logistic_regression,1,auc,0.932475011640762,,,overall
3,chicago_2025,logistic_regression,1,f1,0.7008898015058179,,,overall
3,chicago_2025,logistic_regression,1,recall,0.8504983388704319,,,overall
3,chicago_2025,logistic_regression,1,precision,0.5960419091967404,,,overall
3,chicago_2025,lstm,1,auc,0.8961986842368372,,,overall
3,chicago_2025,lstm,1,f1,0.611243072050673,,,overall
3,chicago_2025,lstm,1,recall,0.6411960132890365,,,overall
3,chicago_2025,lstm,1,precision,0.583963691376702,,,overall
3,chicago_2025,random_forest,1,auc,0.929704081836698,,,overall
3,chicago_2025,random_forest,1,f1,0.6802374893977948,,,overall
3,chicago_2025,random_forest,1,recall,0.6661129568106312,,,overall
3,chicago_2025,random_forest,1,precision,0.6949740034662045,,,overall
3,nibrs,baseline_persistence,1,auc,0.9987551692918574,,,overall
3,nibrs,baseline_persistence,1,f1,0.9072254966164593,,,overall
3,nibrs,baseline_persistence,1,recall,0.9086139046786182,,,overall
3,nibrs,baseline_persistence,1,precision,0.9058413251961639,,,overall
3,nibrs,logistic_regression,1,auc,0.8500122630566984,,,overall
3,nibrs,logistic_regression,1,f1,0.4178484953303355,,,overall
3,nibrs,logistic_regression,1,recall,0.2641014429383472,,,overall
3,nibrs,logistic_regression,1,precision,1.0,,,overall
3,nibrs,lstm,1,auc,0.9704717023173417,,,overall
3,nibrs,lstm,1,f1,0.16468541606262685,,,overall
3,nibrs,lstm,1,recall,0.12418014866637517,,,overall
3,nibrs,lstm,1,precision,0.24440619621342513,,,overall
3,nibrs,random_forest,1,auc,0.9988818318452666,,,overall
3,nibrs,random_forest,1,f1,0.9279854147675477,,,overall
3,nibrs,random_forest,1,recall,0.890249234805422,,,overall
3,nibrs,random_forest,1,precision,0.9690623512613041,,,overall
3,chicago_2025,baseline_persistence,2,auc,0.8949656918897455,,,overall
