seed,model,region_id,topk_selection_rate
1,baseline_persistence,IL__CPD_DIST_4,0.27049180327868855
1,baseline_persistence,IL__CPD_DIST_11,0.5327868852459017
1,baseline_persistence,IL__CPD_DIST_8,0.6885245901639344
1,baseline_persistence,IL__CPD_DIST_6,0.36885245901639346
1,baseline_persistence,IL__CPD_DIST_25,0.11475409836065574
1,baseline_persistence,IL__CPD_DIST_3,0.27049180327868855
1,baseline_persistence,IL__CPD_DIST_1,0.6147540983606558
1,baseline_persistence,IL__CPD_DIST_10,0.0
1,baseline_persistence,IL__CPD_DIST_19,0.4180327868852459
1,baseline_persistence,IL__CPD_DIST_7,0.00819672131147541
1,baseline_persistence,IL__CPD_DIST_9,0.02459016393442623
1,baseline_persistence,IL__CPD_DIST_5,0.0
1,baseline_persistence,IL__CPD_DIST_17,0.0
1,baseline_persistence,IL__CPD_DIST_16,0.0
1,baseline_persistence,IL__CPD_DIST_24,0.0
1,baseline_persistence,IL__CPD_DIST_15,0.0
1,baseline_persistence,IL__CPD_DIST_14,0.0
1,baseline_persistence,IL__CPD_DIST_22,0.0
1,baseline_persistence,IL__CPD_DIST_20,0.0
1,baseline_persistence,IL__CPD_DIST_31,0.0
1,baseline_persistence,IL__CPD_DIST_UNKNOWN,0.0
1,logistic_regression,IL__CPD_DIST_8,0.9344262295081968
1,logistic_regression,IL__CPD_DIST_12,0.9918032786885246
1,logistic_regression,IL__CPD_DIST_11,0.9508196721311475
1,logistic_regression,IL__CPD_DIST_1,0.7213114754098361
1,logistic_regression,IL__CPD_DIST_6,0.6311475409836066
1,logistic_regression,IL__CPD_DIST_18,0.5983606557377049
1,logistic_regression,IL__CPD_DIST_25,0.0
1,logistic_regression,IL__CPD_DIST_4,0.08196721311475409
1,logistic_regression,IL__CPD_DIST_19,0.06557377049180328
1,logistic_regression,IL__CPD_DIST_3,0.00819672131147541
1,logistic_regression,IL__CPD_DIST_2,0.01639344262295082
1,logistic_regression,IL__CPD_DIST_9,0.0
1,logistic_regression,IL__CPD_DIST_10,0.0
1,logistic_regression,IL__CPD_DIST_7,0.0
1,logistic_regression,IL__CPD_DIST_15,0.0
1,logistic_regression,IL__CPD_DIST_14,0.0
1,logistic_regression,IL__CPD_DIST_5,0.0
1,logistic_regression,IL__CPD_DIST_24,0.0
1,logistic_regression,IL__CPD_DIST_16,0.0
1,logistic_regression,IL__CPD_DIST_17,0.0
1,logistic_regression,IL__CPD_DIST_22,0.0
1,logistic_regression,IL__CPD_DIST_20,0.0
1,logistic_regression,IL__CPD_DIST_31,0.0
1,logistic_regression,IL__CPD_DIST_UNKNOWN,0.0
1,lstm,IL__CPD_DIST_12,0.8360655737704918
1,lstm,IL__CPD_DIST_8,0.6475409836065574
1,lstm,IL__CPD_DIST_11,0.6229508196721312
1,lstm,IL__CPD_DIST_6,0.5573770491803278
1,lstm,IL__CPD_DIST_4,0.30327868852459017
1,lstm,IL__CPD_DIST_25,0.11475409836065574
1,lstm,IL__CPD_DIST_3,0.1557377049180328
1,lstm,IL__CPD_DIST_1,0.6639344262295082
1,lstm,IL__CPD_DIST_18,0.6639344262295082
1,lstm,IL__CPD_DIST_2,0.08196721311475409
1,lstm,IL__CPD_DIST_19,0.30327868852459017
1,lstm,IL__CPD_DIST_10,0.0
1,lstm,IL__CPD_DIST_UNKNOWN,0.0
1,lstm,IL__CPD_DIST_31,0.0
1,lstm,IL__CPD_DIST_7,0.040983606557377046
1,lstm,IL__CPD_DIST_17,0.0
1,lstm,IL__CPD_DIST_16,0.0
1,lstm,IL__CPD_DIST_22,0.0
1,lstm,IL__CPD_DIST_9,0.00819672131147541
1,lstm,IL__CPD_DIST_20,0.0
1,lstm,IL__CPD_DIST_5,0.0
1,lstm,IL__CPD_DIST_24,0.0
1,lstm,IL__CPD_DIST_14,0.0
1,lstm,IL__CPD_DIST_15,0.0
1,random_forest,IL__CPD_DIST_12,0.9754098360655737
1,random_forest,IL__CPD_DIST_8,0.860655737704918
1,random_forest,IL__CPD_DIST_1,0.7704918032786885
1,random_forest,IL__CPD_DIST_6,0.5
1,random_forest,IL__CPD_DIST_25,0.03278688524590164
1,random_forest,IL__CPD_DIST_11,0.7131147540983607
1,random_forest,IL__CPD_DIST_18,0.6557377049180327
1,random_forest,IL__CPD_DIST_4,0.1721311475409836
1,random_forest,IL__CPD_DIST_2,0.04918032786885246
1,random_forest,IL__CPD_DIST_3,0.03278688524590164
1,random_forest,IL__CPD_DIST_19,0.23770491803278687
1,random_forest,IL__CPD_DIST_7,0.0
1,random_forest,IL__CPD_DIST_10,0.0
1,random_forest,IL__CPD_DIST_9,0.0
1,random_forest,IL__CPD_DIST_15,0.0
1,random_forest,IL__CPD_DIST_14,0.0
1,random_forest,IL__CPD_DIST_5,0.0
1,random_forest,IL__CPD_DIST_16,0.0
1,random_forest,IL__CPD_DIST_22,0.0
1,random_forest,IL__CPD_DIST_17,0.0
1,random_forest,IL__CPD_DIST_20,0.0
1,random_forest,IL__CPD_DIST_31,0.0
1,random_forest,IL__CPD_DIST_24,0.0
1,random_forest,IL__CPD_DIST_UNKNOWN,0.0
2,baseline_persistence,IL__CPD_DIST_12,0.8360655737704918
2,baseline_persistence,IL__CPD_DIST_18,0.5491803278688525
2,baseline_persistence,IL__CPD_DIST_2,0.30327868852459017
2,baseline_persistence,IL__CPD_DIST_4,0.27049180327868855
2,baseline_persistence,IL__CPD_DIST_11,0.5327868852459017
2,baseline_persistence,IL__CPD_DIST_8,0.6885245901639344
2,baseline_persistence,IL__CPD_DIST_6,0.36885245901639346
2,baseline_persistence,IL__CPD_DIST_25,0.11475409836065574
2,baseline_persistence,IL__CPD_DIST_3,0.27049180327868855
2,baseline_persistence,IL__CPD_DIST_1,0.6147540983606558
2,baseline_persistence,IL__CPD_DIST_10,0.0
2,baseline_persistence,IL__CPD_DIST_19,0.4180327868852459
2,baseline_persistence,IL__CPD_DIST_7,0.00819672131147541
2,baseline_persistence,IL__CPD_DIST_9,0.02459016393442623
2,baseline_persistence,IL__CPD_DIST_5,0.0
2,baseline_persistence,IL__CPD_DIST_17,0.0
2,baseline_persistence,IL__CPD_DIST_16,0.0
2,baseline_persistence,IL__CPD_DIST_24,0.0
2,baseline_persistence,IL__CPD_DIST_15,0.0
2,baseline_persistence,IL__CPD_DIST_14,0.0
2,baseline_persistence,IL__CPD_DIST_22,0.0
2,baseline_persistence,IL__CPD_DIST_20,0.0
2,baseline_persistence,IL__CPD_DIST_31,0.0
2,baseline_persistence,IL__CPD_DIST_UNKNOWN,0.0
2,logistic_regression,IL__CPD_DIST_8,0.9426229508196722
2,logistic_regression,IL__CPD_DIST_12,0.9918032786885246
2,logistic_regression,IL__CPD_DIST_11,0.9508196721311475
2,logistic_regression,IL__CPD_DIST_1,0.7131147540983607
2,logistic_regression,IL__CPD_DIST_6,0.6885245901639344
2,logistic_regression,IL__CPD_DIST_18,0.5573770491803278
2,logistic_regression,IL__CPD_DIST_25,0.0
2,logistic_regression,IL__CPD_DIST_19,0.05737704918032787
2,logistic_regression,IL__CPD_DIST_4,0.08196721311475409
2,logistic_regression,IL__CPD_DIST_3,0.0
2,logistic_regression,IL__CPD_DIST_2,0.01639344262295082
2,logistic_regression,IL__CPD_DIST_9,0.0
2,logistic_regression,IL__CPD_DIST_10,0.0
2,logistic_regression,IL__CPD_DIST_7,0.0
2,logistic_regression,IL__CPD_DIST_15,0.0
2,logistic_regression,IL__CPD_DIST_14,0.0
2,logistic_regression,IL__CPD_DIST_5,0.0
2,logistic_regression,IL__CPD_DIST_24,0.0
2,logistic_regression,IL__CPD_DIST_16,0.0
2,logistic_regression,IL__CPD_DIST_17,0.0
2,logistic_regression,IL__CPD_DIST_22,0.0
2,logistic_regression,IL__CPD_DIST_20,0.0
2,logistic_regression,IL__CPD_DIST_31,0.0
2,logistic_regression,IL__CPD_DIST_UNKNOWN,0.0
2,lstm,IL__CPD_DIST_8,0.6229508196721312
2,lstm,IL__CPD_DIST_12,0.8770491803278688
2,lstm,IL__CPD_DIST_25,0.13934426229508196
2,lstm,IL__CPD_DIST_11,0.5491803278688525
2,lstm,IL__CPD_DIST_6,0.5163934426229508
2,lstm,IL__CPD_DIST_3,0.09836065573770492
2,lstm,IL__CPD_DIST_4,0.36885245901639346
2,lstm,IL__CPD_DIST_2,0.22131147540983606
2,lstm,IL__CPD_DIST_1,0.6721311475409836
2,lstm,IL__CPD_DIST_19,0.3114754098360656
2,lstm,IL__CPD_DIST_18,0.5737704918032787
2,lstm,IL__CPD_DIST_15,0.0
2,lstm,IL__CPD_DIST_9,0.02459016393442623
