model,auc_chicago_2025,auc_nibrs,delta_auc
lstm,0.895126496278289,0.7289976845107757,0.16612881176751326
logistic_regression,0.9322119637512866,0.836688464694752,0.09552349905653457
random_forest,0.9297412180093297,0.997714804794632,-0.0679735867853023
baseline_persistence,0.8949656918897455,0.9987551692918574,-0.10378947740211186
