seed,domain,model,auc,f1,recall,precision,n_rows
0,chicago_2025,baseline_persistence,0.8949656918897455,0.6185737976782753,0.6196013289036545,0.6175496688741722,2928
0,chicago_2025,logistic_regression,0.9321836355170354,0.7054840893703453,0.8654485049833887,0.5954285714285714,2928
0,chicago_2025,lstm,0.8900829993458321,0.6251920122887865,0.6760797342192691,0.5814285714285714,2928
0,chicago_2025,random_forest,0.9299497519018005,0.6689655172413793,0.6445182724252492,0.6953405017921147,2928
0,nibrs,baseline_persistence,0.9987551692918574,0.9072254966164593,0.9086139046786182,0.9058413251961639,99238
0,nibrs,logistic_regression,0.8793735444963098,0.44421768707482995,0.2855268911237429,1.0,99238
0,nibrs,lstm,0.22377072976027265,0.0,0.0,0.0,99238
0,nibrs,random_forest,0.9975164587241829,0.9298085688240657,0.8919982509838216,0.9709662065683008,99238
1,chicago_2025,baseline_persistence,0.8949656918897455,0.6185737976782753,0.6196013289036545,0.6175496688741722,2928
1,chicago_2025,logistic_regression,0.932475011640762,0.7008898015058179,0.8504983388704319,0.5960419091967404,2928
1,chicago_2025,lstm,0.8961986842368372,0.611243072050673,0.6411960132890365,0.583963691376702,2928
1,chicago_2025,random_forest,0.929704081836698,0.6802374893977948,0.6661129568106312,0.6949740034662045,2928
1,nibrs,baseline_persistence,0.9987551692918574,0.9072254966164593,0.9086139046786182,0.9058413251961639,99238
1,nibrs,logistic_regression,0.8500122630566984,0.4178484953303355,0.2641014429383472,1.0,99238
1,nibrs,lstm,0.9704717023173417,0.16468541606262685,0.12418014866637517,0.24440619621342513,99238
1,nibrs,random_forest,0.9988818318452666,0.9279854147675477,0.890249234805422,0.9690623512613041,99238
2,chicago_2025,baseline_persistence,0.8949656918897455,0.6185737976782753,0.6196013289036545,0.6175496688741722,2928
2,chicago_2025,logistic_regression,0.9319772440960625,0.7066290550070522,0.8322259136212624,0.6139705882352942,2928
2,chicago_2025,lstm,0.8990978052521974,0.6407322654462243,0.6976744186046512,0.5923836389280677,2928
2,chicago_2025,random_forest,0.9295698202894908,0.6804478897502153,0.6561461794019934,0.7066189624329159,2928
2,nibrs,baseline_persistence,0.9987551692918574,0.9072254966164593,0.9086139046786182,0.9058413251961639,99238
2,nibrs,logistic_regression,0.7806795865312477,0.3505228993869456,0.2125054656755575,1.0,99238
2,nibrs,lstm,0.992750621454713,0.23890784982935154,0.13773502404897245,0.9,99238
2,nibrs,random_forest,0.9967461238144466,0.9251324579589957,0.8780061215566244,0.9776046738072055,99238
