domain,seed,model,k,coverage
chicago_2025,0,baseline_persistence,5,0.29321070464294785
chicago_2025,0,baseline_persistence,10,0.562747492051808
chicago_2025,0,baseline_persistence,20,0.9444048949558529
chicago_2025,0,logistic_regression,5,0.3014193288489303
chicago_2025,0,logistic_regression,10,0.5737032738874024
chicago_2025,0,logistic_regression,20,0.9479412409834826
chicago_2025,0,lstm,5,0.29414762253815024
chicago_2025,0,lstm,10,0.5637124276044596
chicago_2025,0,lstm,20,0.8917784441096652
chicago_2025,0,random_forest,5,0.3022070098838778
chicago_2025,0,random_forest,10,0.5735086717386436
chicago_2025,0,random_forest,20,0.9445656597258084
chicago_2025,1,baseline_persistence,5,0.29321070464294785
chicago_2025,1,baseline_persistence,10,0.562747492051808
chicago_2025,1,baseline_persistence,20,0.9444048949558529
chicago_2025,1,logistic_regression,5,0.3013909330185781
chicago_2025,1,logistic_regression,10,0.574194946456121
chicago_2025,1,logistic_regression,20,0.9478719692337542
chicago_2025,1,lstm,5,0.296252384137895
chicago_2025,1,lstm,10,0.5646880230564948
chicago_2025,1,lstm,20,0.9046099854571635
chicago_2025,1,random_forest,5,0.3016019768590064
chicago_2025,1,random_forest,10,0.5733073563098433
chicago_2025,1,random_forest,20,0.943665272839686
chicago_2025,2,baseline_persistence,5,0.29321070464294785
chicago_2025,2,baseline_persistence,10,0.562747492051808
chicago_2025,2,baseline_persistence,20,0.9444048949558529
chicago_2025,2,logistic_regression,5,0.30175501332002813
chicago_2025,2,logistic_regression,10,0.5738309537871273
chicago_2025,2,logistic_regression,20,0.9478942893132726
chicago_2025,2,lstm,5,0.2954358126603392
chicago_2025,2,lstm,10,0.5641804668541658
chicago_2025,2,lstm,20,0.8833296386885153
chicago_2025,2,random_forest,5,0.3010222109988271
chicago_2025,2,random_forest,10,0.5735785702378048
chicago_2025,2,random_forest,20,0.9442768351223747
nibrs,0,baseline_persistence,5,0.1807194571640396
nibrs,0,baseline_persistence,10,0.25476526801659183
nibrs,0,baseline_persistence,20,0.3477794620724214
nibrs,0,baseline_persistence,50,0.48603644659913997
nibrs,0,baseline_persistence,100,0.6426427652966159
nibrs,0,logistic_regression,5,0.15794779321099175
nibrs,0,logistic_regression,10,0.2228959058838233
nibrs,0,logistic_regression,20,0.29451711285125404
nibrs,0,logistic_regression,50,0.3907458034196459
nibrs,0,logistic_regression,100,0.40621019046433754
nibrs,0,lstm,5,0.0027123068480542517
nibrs,0,lstm,10,0.004341555026898099
nibrs,0,lstm,20,0.0075093928669190575
nibrs,0,lstm,50,0.018037396482535828
nibrs,0,lstm,100,0.04222603859597908
nibrs,0,random_forest,5,0.07820376978125879
nibrs,0,random_forest,10,0.17787950112955145
nibrs,0,random_forest,20,0.34878560601518865
nibrs,0,random_forest,50,0.45380569609991256
nibrs,0,random_forest,100,0.4861890837874135
nibrs,1,baseline_persistence,5,0.1807194571640396
nibrs,1,baseline_persistence,10,0.25476526801659183
nibrs,1,baseline_persistence,20,0.3477794620724214
nibrs,1,baseline_persistence,50,0.48603644659913997
nibrs,1,baseline_persistence,100,0.6426427652966159
nibrs,1,logistic_regression,5,0.15714372335926113
nibrs,1,logistic_regression,10,0.22213301882255346
nibrs,1,logistic_regression,20,0.2914173225724166
nibrs,1,logistic_regression,50,0.357587587529753
nibrs,1,logistic_regression,100,0.3678468622567988
nibrs,1,lstm,5,0.03216418571536558
nibrs,1,lstm,10,0.06832700445128287
nibrs,1,lstm,20,0.14445586079874628
nibrs,1,lstm,50,0.40602172540240256
nibrs,1,lstm,100,0.5038489240544417
nibrs,1,random_forest,5,0.09206723874430724
nibrs,1,random_forest,10,0.18400912014315976
nibrs,1,random_forest,20,0.34888436022024016
nibrs,1,random_forest,50,0.4594121160816938
nibrs,1,random_forest,100,0.5409773010665
nibrs,2,baseline_persistence,5,0.1807194571640396
nibrs,2,baseline_persistence,10,0.25476526801659183
nibrs,2,baseline_persistence,20,0.3477794620724214
nibrs,2,baseline_persistence,50,0.48603644659913997
nibrs,2,baseline_persistence,100,0.6426427652966159
nibrs,2,logistic_regression,5,0.15443835615868762
nibrs,2,logistic_regression,10,0.21720022971704694
nibrs,2,logistic_regression,20,0.27827885436394667
nibrs,2,logistic_regression,50,0.30562133569888933
nibrs,2,logistic_regression,100,0.3115498613608841
nibrs,2,lstm,5,0.11373596947786324
nibrs,2,lstm,10,0.2025678232124591
nibrs,2,lstm,20,0.32543221074759104
nibrs,2,lstm,50,0.40662310327017703
nibrs,2,lstm,100,0.48763849541757814
nibrs,2,random_forest,5,0.08830124245183128
nibrs,2,random_forest,10,0.20387403769659554
nibrs,2,random_forest,20,0.34860512723286446
nibrs,2,random_forest,50,0.4485197295594257
nibrs,2,random_forest,100,0.4791641533588407
