dataset,model,precision,recall,f1,auc_roc
chicago_2025,baseline_persistence,0.6175496688741722,0.6196013289036545,0.6185737976782753,0.8949656918897455
chicago_2025,logistic_regression,0.601813689620202,0.849390919158361,0.7043343152944052,0.9322119637512866
chicago_2025,lstm,0.5859253005777804,0.6716500553709857,0.6257224499285613,0.895126496278289
chicago_2025,random_forest,0.698977822563745,0.655592469545958,0.6765502987964632,0.9297412180093297
nibrs,baseline_persistence,0.9058413251961639,0.9086139046786182,0.9072254966164593,0.9987551692918574
nibrs,logistic_regression,1.0,0.2540445999125492,0.40419636059737035,0.836688464694752
nibrs,lstm,0.3814687320711417,0.08730505757178253,0.13453108863065946,0.7289976845107757
nibrs,random_forest,0.9725444105456035,0.8867512024486226,0.9276421471835364,0.997714804794632
