region_id,time_id,lag_0,lag_1,lag_2,lag_4,rolling_mean_4,rolling_sum_4,ewma_4,neighbor_lag_0,neighbor_lag_1,neighbor_roll_mean_4,neighbor_ewma_4,self_neighbor_ratio_lag0,lag1_share_theft_larceny,lag1_share_assault_battery,lag1_share_burglary,lag1_share_robbery,lag1_share_motor_vehicle_theft,lag1_share_drug_narcotics,month,weekofyear,quarter,sin_weekofyear,cos_weekofyear,region_train_mean,region_train_std,region_train_count,region_seen_in_train,y,y_count
IL__CPD_DIST_1,2024-12-30,150,165.0,177.0,179.0,174.5,698.0,172.62641692086447,115.52173913043478,116.91304347826087,124.09782608695652,121.87359803755606,1.2984569062852842,0.4727272727272727,0.28484848484848485,0.06060606060606061,0.05454545454545454,0.09090909090909091,0.03636363636363636,12,1,4,0.12053668025532305,0.992708874098054,179.357833655706,57.011674324223684,517,1,0,152.0
IL__CPD_DIST_1,2025-01-06,152,150.0,165.0,177.0,167.25,669.0,163.57585015251868,109.21739130434783,115.52173913043478,120.3586956521739,119.33285447470755,1.39171974522293,0.42,0.4066666666666667,0.02,0.02,0.08666666666666667,0.04666666666666667,1,2,1,0.23931566428755774,0.970941817426052,179.357833655706,57.011674324223684,517,1,0,146.0
IL__CPD_DIST_1,2025-01-13,146,152.0,150.0,177.0,161.0,644.0,158.9455100915112,118.30434782608695,109.21739130434783,115.75,115.28666920656366,1.2341051084160235,0.5197368421052632,0.27631578947368424,0.05921052631578947,0.039473684210526314,0.046052631578947366,0.05921052631578947,1,3,1,0.3546048870425356,0.9350162426854148,179.357833655706,57.011674324223684,517,1,0,145.0
IL__CPD_DIST_1,2025-01-20,145,146.0,152.0,165.0,153.25,613.0,153.76730605490673,106.56521739130434,118.30434782608695,114.98913043478261,116.49374065437297,1.3606691146470828,0.4383561643835616,0.2465753424657534,0.03424657534246575,0.03424657534246575,0.0684931506849315,0.1780821917808219,1,4,1,0.4647231720437685,0.8854560256532099,179.357833655706,57.011674324223684,517,1,1,185.0
IL__CPD_DIST_1,2025-01-27,185,145.0,146.0,150.0,148.25,593.0,150.260383632944,122.91304347826087,106.56521739130434,112.40217391304347,112.52233134914553,1.505129112133003,0.43448275862068964,0.3586206896551724,0.05517241379310345,0.034482758620689655,0.05517241379310345,0.06206896551724138,1,5,1,0.5680647467311558,0.8229838658936564,179.357833655706,57.011674324223684,517,1,0,147.0
IL__CPD_DIST_1,2025-02-03,147,185.0,145.0,152.0,157.0,628.0,164.1562301797664,110.17391304347827,122.91304347826087,114.25,116.67861620079167,1.3342541436464088,0.4864864864864865,0.2864864864864865,0.07567567567567568,0.016216216216216217,0.0918918918918919,0.043243243243243246,2,6,1,0.6631226582407952,0.7485107481711011,179.357833655706,57.011674324223684,517,1,0,153.0
IL__CPD_DIST_1,2025-02-10,153,147.0,185.0,146.0,155.75,623.0,157.29373810785984,105.52173913043478,110.17391304347827,114.48913043478261,114.07673493786629,1.449938195302843,0.4489795918367347,0.29931972789115646,0.04081632653061224,0.02040816326530612,0.09523809523809523,0.09523809523809523,2,7,1,0.7485107481711011,0.6631226582407953,179.357833655706,57.011674324223684,517,1,0,171.0
IL__CPD_DIST_1,2025-02-17,171,153.0,147.0,145.0,157.5,630.0,155.5762428647159,112.3913043478261,105.52173913043478,111.29347826086956,110.6547366148937,1.5214700193423596,0.5947712418300654,0.2222222222222222,0.0392156862745098,0.032679738562091505,0.06535947712418301,0.0457516339869281,2,8,1,0.8229838658936564,0.5680647467311558,179.357833655706,57.011674324223684,517,1,0,159.0
IL__CPD_DIST_1,2025-02-24,159,171.0,153.0,185.0,164.0,656.0,161.74574571882954,114.56521739130434,112.3913043478261,112.75,111.34936370806665,1.387855787476281,0.39766081871345027,0.3684210526315789,0.03508771929824561,0.05847953216374269,0.1111111111111111,0.029239766081871343,2,9,1,0.8854560256532098,0.4647231720437686,179.357833655706,57.011674324223684,517,1,0,166.0
IL__CPD_DIST_1,2025-03-03,166,159.0,171.0,147.0,157.5,630.0,160.64744743129773,113.56521739130434,114.56521739130434,110.66304347826086,112.63570518136171,1.4617151607963248,0.559748427672956,0.2641509433962264,0.025157232704402517,0.050314465408805034,0.06289308176100629,0.03773584905660377,3,10,1,0.9350162426854148,0.35460488704253557,179.357833655706,57.011674324223684,517,1,1,193.0
