dataset,model,precision,recall,f1,auc_roc
chicago_2025,baseline_persistence,0.6910569105691057,0.6967213114754097,0.6938775510204082,0.9369264744301483
chicago_2025,logistic_regression,0.6480687545227605,0.907103825136612,0.7559309078148146,0.9543560729758562
chicago_2025,lstm,0.6104413985586206,0.8019125683060109,0.6931388603566164,0.926907805934731
chicago_2025,random_forest,0.7344233249564535,0.7896174863387978,0.7609945205436112,0.9521395293144362
nibrs,baseline_persistence,0.9332603938730853,0.9509476031215162,0.9420209828823854,0.9982853363943279
nibrs,logistic_regression,0.993055602530483,0.39390561129691565,0.5611965915719974,0.8924460164418395
nibrs,lstm,0.44607102013443906,0.5046451133407656,0.35084274746294947,0.922603394778894
nibrs,random_forest,0.957439244597611,0.9442586399108138,0.9507983187619168,0.9968248518466455
