model,auc_chicago_2025,auc_nibrs,delta_auc
logistic_regression,0.9543560729758562,0.8924460164418395,0.06191005653401671
lstm,0.926907805934731,0.922603394778894,0.004304411155837018
random_forest,0.9521395293144362,0.9968248518466455,-0.04468532253220925
baseline_persistence,0.9369264744301483,0.9982853363943279,-0.06135886196417961
