seed,model,region_bucket,auc,f1,n_rows
0,baseline_persistence,Q1,,0.0,10128
0,baseline_persistence,Q2,,0.0,10080
0,baseline_persistence,Q3,,0.0,10080
0,baseline_persistence,Q4,0.9958756977989113,0.9420209828823854,10080
0,logistic_regression,Q1,,0.0,10128
0,logistic_regression,Q2,,0.0,10080
0,logistic_regression,Q3,,0.0,10080
0,logistic_regression,Q4,0.9332077316538205,0.641566265060241,10080
0,lstm,Q1,,0.0,10128
0,lstm,Q2,,0.0,10080
0,lstm,Q3,,0.0,10080
0,lstm,Q4,0.9820365075254782,0.45829823083403537,10080
0,random_forest,Q1,,0.0,10128
0,random_forest,Q2,,0.0,10080
0,random_forest,Q3,,0.0,10080
0,random_forest,Q4,0.9953593178029636,0.9527027027027029,10080
1,baseline_persistence,Q1,,0.0,10128
1,baseline_persistence,Q2,,0.0,10080
1,baseline_persistence,Q3,,0.0,10080
1,baseline_persistence,Q4,0.9958756977989113,0.9420209828823854,10080
1,logistic_regression,Q1,,0.0,10128
1,logistic_regression,Q2,,0.0,10080
1,logistic_regression,Q3,,0.0,10080
1,logistic_regression,Q4,0.8396678657462999,0.49202350965575137,10080
1,lstm,Q1,,0.0,10128
1,lstm,Q2,,0.0,10080
1,lstm,Q3,,0.0,10080
1,lstm,Q4,0.8349480906687277,0.33020507473062216,10080
1,random_forest,Q1,,0.0,10128
1,random_forest,Q2,,0.0,10080
1,random_forest,Q3,,0.0,10080
1,random_forest,Q4,0.993756154281984,0.9506726457399104,10080
2,baseline_persistence,Q1,,0.0,10128
2,baseline_persistence,Q2,,0.0,10080
2,baseline_persistence,Q3,,0.0,10080
2,baseline_persistence,Q4,0.9958756977989113,0.9420209828823854,10080
2,logistic_regression,Q1,,0.0,10128
2,logistic_regression,Q2,,0.0,10080
2,logistic_regression,Q3,,0.0,10080
2,logistic_regression,Q4,0.9001139471644989,0.55,10080
2,lstm,Q1,,0.0,10128
2,lstm,Q2,,0.0,10080
2,lstm,Q3,,0.0,10080
2,lstm,Q4,0.9450573383928497,0.7743979721166033,10080
2,random_forest,Q1,,0.0,10128
2,random_forest,Q2,,0.0,10080
2,random_forest,Q3,,0.0,10080
2,random_forest,Q4,0.9947849687349424,0.9490196078431373,10080
