time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,chicago_2025,baseline_persistence,0,f1,0.0,,2024-12,temporal
7,chicago_2025,baseline_persistence,0,f1,0.3529411764705882,,2025-01,temporal
7,chicago_2025,baseline_persistence,0,f1,0.5,,2025-02,temporal
7,chicago_2025,baseline_persistence,0,f1,0.5,,2025-03,temporal
7,chicago_2025,baseline_persistence,0,f1,0.6818181818181819,,2025-04,temporal
7,chicago_2025,baseline_persistence,0,f1,0.6923076923076923,,2025-05,temporal
7,chicago_2025,baseline_persistence,0,f1,0.8433734939759037,,2025-06,temporal
7,chicago_2025,baseline_persistence,0,f1,0.7941176470588236,,2025-07,temporal
7,chicago_2025,baseline_persistence,0,f1,0.6274509803921569,,2025-08,temporal
7,chicago_2025,baseline_persistence,0,f1,0.75,,2025-09,temporal
7,chicago_2025,baseline_persistence,0,f1,0.7777777777777777,,2025-10,temporal
7,chicago_2025,baseline_persistence,0,f1,0.47058823529411764,,2025-11,temporal
7,chicago_2025,baseline_persistence,0,f1,0.25,,2025-12,temporal
7,chicago_2025,logistic_regression,0,f1,0.0,,2024-12,temporal
7,chicago_2025,logistic_regression,0,f1,0.6363636363636365,,2025-01,temporal
7,chicago_2025,logistic_regression,0,f1,0.6666666666666666,,2025-02,temporal
7,chicago_2025,logistic_regression,0,f1,0.5128205128205129,,2025-03,temporal
7,chicago_2025,logistic_regression,0,f1,0.7142857142857143,,2025-04,temporal
7,chicago_2025,logistic_regression,0,f1,0.7878787878787878,,2025-05,temporal
7,chicago_2025,logistic_regression,0,f1,0.9130434782608696,,2025-06,temporal
7,chicago_2025,logistic_regression,0,f1,0.8648648648648648,,2025-07,temporal
7,chicago_2025,logistic_regression,0,f1,0.7575757575757575,,2025-08,temporal
7,chicago_2025,logistic_regression,0,f1,0.7999999999999999,,2025-09,temporal
7,chicago_2025,logistic_regression,0,f1,0.7272727272727273,,2025-10,temporal
7,chicago_2025,logistic_regression,0,f1,0.35714285714285715,,2025-11,temporal
7,chicago_2025,logistic_regression,0,f1,0.3333333333333333,,2025-12,temporal
7,chicago_2025,lstm,0,f1,0.0,,2024-12,temporal
7,chicago_2025,lstm,0,f1,0.5714285714285714,,2025-01,temporal
7,chicago_2025,lstm,0,f1,0.5882352941176471,,2025-02,temporal
7,chicago_2025,lstm,0,f1,0.26086956521739135,,2025-03,temporal
7,chicago_2025,lstm,0,f1,0.55,,2025-04,temporal
7,chicago_2025,lstm,0,f1,0.7301587301587301,,2025-05,temporal
7,chicago_2025,lstm,0,f1,0.8750000000000001,,2025-06,temporal
7,chicago_2025,lstm,0,f1,0.8611111111111112,,2025-07,temporal
7,chicago_2025,lstm,0,f1,0.6875,,2025-08,temporal
7,chicago_2025,lstm,0,f1,0.775,,2025-09,temporal
7,chicago_2025,lstm,0,f1,0.5957446808510638,,2025-10,temporal
7,chicago_2025,lstm,0,f1,0.3333333333333333,,2025-11,temporal
7,chicago_2025,lstm,0,f1,0.15384615384615383,,2025-12,temporal
7,chicago_2025,random_forest,0,f1,0.0,,2024-12,temporal
7,chicago_2025,random_forest,0,f1,0.3529411764705882,,2025-01,temporal
7,chicago_2025,random_forest,0,f1,0.6,,2025-02,temporal
7,chicago_2025,random_forest,0,f1,0.48,,2025-03,temporal
7,chicago_2025,random_forest,0,f1,0.7272727272727272,,2025-04,temporal
7,chicago_2025,random_forest,0,f1,0.7999999999999999,,2025-05,temporal
7,chicago_2025,random_forest,0,f1,0.898876404494382,,2025-06,temporal
7,chicago_2025,random_forest,0,f1,0.8767123287671234,,2025-07,temporal
7,chicago_2025,random_forest,0,f1,0.7,,2025-08,temporal
7,chicago_2025,random_forest,0,f1,0.7741935483870968,,2025-09,temporal
7,chicago_2025,random_forest,0,f1,0.7692307692307693,,2025-10,temporal
7,chicago_2025,random_forest,0,f1,0.5263157894736842,,2025-11,temporal
7,chicago_2025,random_forest,0,f1,0.5714285714285715,,2025-12,temporal
7,nibrs,baseline_persistence,0,f1,0.9,,2024-01,temporal
7,nibrs,baseline_persistence,0,f1,0.9542483660130718,,2024-02,temporal
7,nibrs,baseline_persistence,0,f1,0.9559748427672956,,2024-03,temporal
7,nibrs,baseline_persistence,0,f1,0.9253731343283583,,2024-04,temporal
7,nibrs,baseline_persistence,0,f1,0.96,,2024-05,temporal
7,nibrs,baseline_persistence,0,f1,0.9673202614379085,,2024-06,temporal
7,nibrs,baseline_persistence,0,f1,0.9533678756476685,,2024-07,temporal
7,nibrs,baseline_persistence,0,f1,0.948051948051948,,2024-08,temporal
7,nibrs,baseline_persistence,0,f1,0.9435897435897437,,2024-09,temporal
7,nibrs,baseline_persistence,0,f1,0.9403973509933775,,2024-10,temporal
7,nibrs,baseline_persistence,0,f1,0.9496402877697843,,2024-11,temporal
7,nibrs,baseline_persistence,0,f1,0.8617886178861789,,2024-12,temporal
7,nibrs,logistic_regression,0,f1,0.5384615384615384,,2024-01,temporal
