dataset,model,k,weekly_count,topk_hit_rate
chicago_2025,baseline_persistence,5,,0.2988926187253578
chicago_2025,baseline_persistence,10,,0.5701977248874238
chicago_2025,baseline_persistence,20,,0.9468929599672408
chicago_2025,logistic_regression,5,,0.30187640113122
chicago_2025,logistic_regression,10,,0.5743428619050864
chicago_2025,logistic_regression,20,,0.9480131362735097
chicago_2025,lstm,5,,0.29469616769671675
chicago_2025,lstm,10,,0.5680903037515591
chicago_2025,lstm,20,,0.8775323339048958
chicago_2025,random_forest,5,,0.3013797562420669
chicago_2025,random_forest,10,,0.5736972664067759
chicago_2025,random_forest,20,,0.922236943443748
nibrs,baseline_persistence,5,,0.1834097210311297
nibrs,baseline_persistence,10,,0.257689267446012
nibrs,baseline_persistence,20,,0.3508193829016701
nibrs,baseline_persistence,50,,0.49110232505002466
nibrs,baseline_persistence,100,,0.6477003770566343
nibrs,logistic_regression,5,,0.15920664301357076
nibrs,logistic_regression,10,,0.22545713786417412
nibrs,logistic_regression,20,,0.2734637383116337
nibrs,logistic_regression,50,,0.27601793259337437
nibrs,logistic_regression,100,,0.2799573534193553
nibrs,lstm,5,,0.05992577985569627
nibrs,lstm,10,,0.12571855021454204
nibrs,lstm,20,,0.23234785745630096
nibrs,lstm,50,,0.33254586231303246
nibrs,lstm,100,,0.3832329168711816
nibrs,random_forest,5,,0.09398411714776284
nibrs,random_forest,10,,0.1873971193809396
nibrs,random_forest,20,,0.3506068227228207
nibrs,random_forest,50,,0.46336161968225165
nibrs,random_forest,100,,0.576338875593302
